epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.0023923803287569756,0.0023923803287569756,0.002365725673735142,0.002365725673735142
1,0.001862450412267612,0.0018624504165792907,0.0013584353495389224,0.0013584353495389224
2,0.0011599482271394887,0.0011599482271394887,0.0010173991788178683,0.0010173991788178683
3,0.0009689708894268139,0.0009689708843965221,0.000919769739266485,0.0009197697276249528
4,0.0008401421996776337,0.0008401422011148599,0.0008565903757698834,0.0008565903757698834
5,0.0007536305807369911,0.000753630580018378,0.000796585704665631,0.000796585704665631
6,0.000684948089061144,0.0006849480872646112,0.0007961777504533529,0.0007961777504533529
7,0.0006305763773177463,0.0006305763776770528,0.0008390948758460581,0.0008390948758460581
8,0.0005763491463307061,0.0005763491463307061,0.0006816685898229479,0.0006816685898229479
9,0.0005361190555117058,0.0005361190547930927,0.0006290111690759659,0.0006290111632551998
10,0.0004969447172810266,0.0004969447154844938,0.0006096704164519906,0.0006096704048104585
11,0.0004743894768367165,0.0004743894753994903,0.0006590613047592342,0.0006590613047592342
12,0.0004327571102889416,0.0004327571120854743,0.0006141721096355468,0.0006141721154563129
13,0.00040485864658954977,0.0004048586469488563,0.0005942224233876914,0.0005942224233876914
14,0.0003919454949353189,0.00039194549601323855,0.0005771356634795665,0.0005771356693003327
15,0.0003616655813846277,0.00036166558282185393,0.0006187410326674581,0.0006187410210259259
16,0.00034488816217398616,0.0003448881618146796,0.0006208144593983888,0.0006208144710399211
17,0.0003311273375638174,0.00033112733666555103,0.0005655948421917856,0.0005655948421917856
18,0.0003100693009198747,0.00031006930056056814,0.0005590908054728061,0.0005590908112935722
19,0.000287759384926535,0.00028775938528584154,0.0005710582772735506,0.0005710582656320185
20,0.0002784320016040892,0.00027843200214304904,0.0005472284567076713,0.0005472284450661391
21,0.0002551320379737903,0.0002551320385127501,0.0005569694505538792,0.0005569694505538792
22,0.0002476292533690777,0.0002476292526504646,0.0005186166905332357,0.0005186166905332357
23,0.00023934776532926516,0.00023934776362255906,0.0005306706763803959,0.0005306706705596298
24,0.00023216393741744536,0.0002321639370581388,0.0005725415947381407,0.0005725416063796729
25,0.00022068244665947363,0.00022068244630016708,0.0005529687565285713,0.0005529687565285713
26,0.00021004660200919773,0.00021004660200919773,0.0005085791344754398,0.0005085791344754398
27,0.00019676432701224393,0.00019676432602415092,0.0005244921601843088,0.0005244921543635428
28,0.0001929715684655318,0.00019297156819605187,0.0004992753965780139,0.0004992753907572478
29,0.00018137309980150427,0.0001813730991727178,0.0004843570466618985,0.0004843570466618985
30,0.00017481697477144477,0.00017481697378335175,0.0005397470609750599,0.0005397470551542938
31,0.00016924159412335513,0.00016924159448266168,0.0004755326022859663,0.0004755326022859663
32,0.00016006598601916828,0.00016006598574968837,0.0004862512229010463,0.0004862512170802802
33,0.00015198251379461224,0.00015198251352513233,0.00048459098325110973,0.0004845909890718758
34,0.00015202644144552817,0.00015202644099639498,0.0005215942044742405,0.0005215942044742405
35,0.0001459974709525992,0.00014599747238982537,0.000489143596496433,0.000489143596496433
36,0.00013867578331602416,0.00013867578376515734,0.0004794654436409473,0.00047946543782018125
37,0.0001321612575406174,0.0001321612568220043,0.0004948234709445387,0.0004948234709445387
38,0.0001358227663455002,0.00013582276625567356,0.0004768278624396771,0.0004768278624396771
39,0.0001259870240809741,0.00012598702381149418,0.00048745176172815263,0.00048745176172815263
40,0.00011856778202158755,0.00011856778202158755,0.00046438192948698996,0.00046438191784545777
41,0.00011306987316520126,0.00011306987352450781,0.00047440886264666916,0.00047440886264666916
42,0.00010497764163085742,0.00010497764194525065,0.0004583203000947833,0.0004583202942740172
43,0.00010180409829186873,0.00010180409802238882,0.0004694834293331951,0.000469483423512429
